PLZ;Ortschaftsname
8868;Oberurnen
8867;Niederurnen
8866;Ziegelbrücke
8865;Bilten
8864;Reichenburg
8863;Buttikon SZ
8862;Schübelbach
8858;Innerthal
8857;Vorderthal
8856;Tuggen
8855;Wangen SZ
8854;Galgenen
8854;Siebnen
8853;Lachen SZ
8852;Altendorf
8849;Alpthal
8847;Egg SZ
8846;Willerzell
8845;Studen SZ
8844;Euthal
8843;Oberiberg
8842;Unteriberg
8841;Gross
8840;Einsiedeln
8840;Trachslau
8836;Bennau
8835;Feusisberg
8834;Schindellegi
8833;Samstagern
8832;Wilen b. Wollerau
8832;Wollerau
8825;Hütten
8824;Schönenberg ZH
8820;Wädenswil
8816;Hirzel
8815;Horgenberg
8810;Horgen
8808;Pfäffikon SZ
8807;Freienbach
8806;Bäch SZ
8805;Richterswil
8804;Au ZH
8803;Rüschlikon
8802;Kilchberg ZH
8800;Thalwil
8784;Braunwald
8783;Linthal
8782;Rüti GL
8777;Betschwanden
8777;Diesbach GL
8775;Hätzingen
8775;Luchsingen
8774;Leuggelbach
8773;Haslen GL
8772;Nidfurn
8767;Elm
8766;Matt
8765;Engi
8762;Schwanden GL
8762;Schwändi b. Schwanden
8762;Sool
8758;Obstalden
8757;Filzbach
8756;Mitlödi
8755;Ennenda
8754;Netstal
8753;Mollis
8752;Näfels
8751;Urnerboden
8750;Glarus
8750;Klöntal
8750;Riedern
8739;Rieden SG
8738;Uetliburg SG
8737;Gommiswald
8735;Rüeterswil
8735;St. Gallenkappel
8734;Ermenswil
8733;Eschenbach SG
8732;Neuhaus SG
8730;Uznach
8727;Walde SG
8726;Ricken SG
8725;Ernetschwil
8725;Gebertingen
8723;Maseltrangen
8723;Rufi
8722;Kaltbrunn
8718;Schänis
8717;Benken SG
8716;Schmerikon
8715;Bollingen
8714;Feldbach
8713;Uerikon
8712;Stäfa
8708;Männedorf
8707;Uetikon am See
8706;Meilen
8704;Herrliberg
8703;Erlenbach ZH
8702;Zollikon
8700;Küsnacht ZH
8646;Wagen
8645;Jona
8640;Hurden
8640;Rapperswil SG
8638;Goldingen
8637;Laupen ZH
8636;Wald ZH
8635;Dürnten
8634;Hombrechtikon
8633;Wolfhausen
8632;Tann
8630;Rüti ZH
8627;Grüningen
8626;Ottikon (Gossau ZH)
8625;Gossau ZH
8624;Grüt (Gossau ZH)
8623;Wetzikon ZH
8620;Wetzikon ZH
8618;Oetwil am See
8617;Mönchaltorf
8616;Riedikon
8615;Freudwil
8615;Wermatswil
8614;Bertschikon (Gossau ZH)
8614;Sulzbach
8610;Uster
8608;Bubikon
8607;Aathal-Seegräben
8606;Greifensee
8606;Nänikon
8605;Gutenswil
8604;Volketswil
8603;Schwerzenbach
8602;Wangen b. Dübendorf
8600;Dübendorf
8599;Salmsach
8598;Bottighofen
8597;Landschlacht
8596;Münsterlingen
8596;Scherzingen
8595;Altnau
8594;Güttingen
8593;Kesswil
8592;Uttwil
8590;Romanshorn
8589;Sitterdorf
8588;Zihlschlacht
8587;Oberaach
8586;Andwil TG
8586;Buch b. Kümmertshausen
8586;Buchackern
8586;Engishofen
8586;Ennetaach
8586;Erlen
8586;Kümmertshausen
8586;Riedt b. Erlen
8585;Birwinken
8585;Happerswil
8585;Herrenhof
8585;Klarsreuti
8585;Langrickenbach
8585;Mattwil
8585;Schönenbaumgarten
8585;Zuben
8584;Leimbach TG
8584;Opfershofen TG
8583;Donzhausen
8583;Götighofen
8583;Sulgen
8582;Dozwil
8581;Schocherswil
8580;Amriswil
8580;Biessenhofen
8580;Hagenwil b. Amriswil
8580;Hefenhofen
8580;Sommeri
8577;Schönholzerswilen
8576;Mauren TG
8575;Bürglen TG
8575;Istighofen
8574;Dettighofen (Lengwil)
8574;Illighausen
8574;Lengwil
8574;Oberhofen TG
8573;Alterswilen
8573;Altishausen
8573;Siegershausen
8572;Andhausen
8572;Berg TG
8572;Graltshausen
8572;Guntershausen b. Berg
8570;Weinfelden
8566;Dotnacht
8566;Ellighausen
8566;Lippoldswilen
8566;Neuwilen
8565;Hugelshofen
8564;Engwilen
8564;Gunterswilen
8564;Hattenhausen
8564;Hefenhausen
8564;Lipperswil
8564;Sonterswil
8564;Wagerswil
8564;Wäldi
8561;Ottoberg
8560;Märstetten
8558;Raperswilen
8556;Engwang
8556;Illhart
8556;Lamperswil TG
8556;Wigoltingen
8555;Müllheim Dorf
8554;Bonau
8554;Müllheim-Wigoltingen
8553;Eschikofen
8553;Harenwilen
8553;Hüttlingen
8553;Mettendorf TG
8552;Felben-Wellhausen
8548;Ellikon an der Thur
8547;Gachnang
8546;Islikon
8546;Kefikon TG
8546;Menzengrüt
8545;Rickenbach Sulz
8545;Rickenbach ZH
8544;Attikon
8543;Bertschikon
8543;Gundetswil
8543;Kefikon ZH
8542;Wiesendangen
8537;Nussbaumen TG
8537;Uerschhausen
8536;Hüttwilen
8535;Herdern
8532;Warth
8532;Weiningen TG
8526;Oberneunforn
8525;Niederneunforn
8525;Wilen b. Neunforn
8524;Buch b. Frauenfeld
8524;Uesslingen
8523;Hagenbuch ZH
8522;Aawangen
8522;Häuslenen
8514;Amlikon-Bissegg
8512;Lustdorf
8512;Thundorf
8512;Wetzikon TG
8508;Homburg
8507;Hörhausen
8506;Lanzenneunforn
8505;Dettighofen
8505;Pfyn
8500;Frauenfeld
8500;Gerlikon
8499;Sternenberg
8498;Gibswil
8497;Fischenthal
8496;Steg im Tösstal
8495;Schmidrüti
8494;Bauma
8493;Saland
8492;Wila
8489;Wildberg
8488;Turbenthal
8487;Rämismühle
8487;Zell ZH
8486;Rikon im Tösstal
8484;Neschwil
8484;Theilingen
8484;Weisslingen
8483;Kollbrunn
8482;Sennhof (Winterthur)
8479;Altikon
8478;Thalheim an der Thur
8477;Oberstammheim
8476;Unterstammheim
8475;Ossingen
8474;Dinhard
8472;Seuzach
8471;Berg (Dägerlen)
8471;Bänk (Dägerlen)
8471;Dägerlen
8471;Oberwil (Dägerlen)
8471;Rutschwil (Dägerlen)
8468;Guntalingen
8468;Waltalingen
8467;Truttikon
8466;Trüllikon
8465;Rudolfingen
8465;Wildensbuch
8464;Ellikon am Rhein
8463;Benken ZH
8462;Rheinau
8461;Oerlingen
8460;Marthalen
8459;Volken
8458;Dorf
8457;Humlikon
8454;Buchberg
8453;Alten
8452;Adlikon b. Andelfingen
8451;Kleinandelfingen
8450;Andelfingen
8447;Dachsen
8444;Henggart
8442;Hettlingen
8428;Teufen ZH
8427;Freienstein
8427;Rorbas
8426;Lufingen
8425;Oberembrach
8424;Embrach
8422;Pfungen
8421;Dättlikon
8418;Schlatt b. Winterthur
8416;Flaach
8415;Berg am Irchel
8415;Gräslikon
8414;Buch am Irchel
8413;Neftenbach
8412;Aesch (Neftenbach)
8412;Hünikon (Neftenbach)
8412;Riet (Neftenbach)
8409;Winterthur
8408;Winterthur
8406;Winterthur
8405;Winterthur
8404;Reutlingen (Winterthur)
8404;Stadel (Winterthur)
8404;Winterthur
8400;Winterthur
8376;Au TG
8376;Fischingen
8374;Dussnang
8374;Oberwangen TG
8372;Wiezikon b. Sirnach
8371;Busswil TG
8370;Sirnach
8363;Bichelsee
8362;Balterswil
8360;Eschlikon TG
8360;Wallenwil
8357;Guntershausen b. Aadorf
8356;Ettenhausen TG
8355;Aadorf
8354;Hofstetten ZH
8353;Elgg
8352;Elsau
8352;Ricketwil (Winterthur)
8345;Adetswil
8344;Bäretswil
8342;Wernetshausen
8340;Hinwil
8335;Hittnau
8332;Rumlikon
8332;Russikon
8331;Auslikon
8330;Pfäffikon ZH
8322;Gündisau
8322;Madetswil
8320;Fehraltorf
8317;Tagelswangen
8315;Lindau
8314;Kyburg
8312;Winterberg ZH
8311;Brütten
8310;Grafstal
8310;Kemptthal
8309;Nürensdorf
8308;Agasul
8308;Illnau
8307;Effretikon
8307;Ottikon b. Kemptthal
8306;Brüttisellen
8305;Dietlikon
8304;Wallisellen
8303;Bassersdorf
8302;Kloten
8280;Kreuzlingen
8274;Gottlieben
8274;Tägerwilen
8273;Triboltingen
8272;Ermatingen
8269;Fruthwilen
8268;Mannenbach-Salenstein
8268;Salenstein
8267;Berlingen
8266;Steckborn
8265;Mammern
8264;Eschenz
8263;Buch SH
8262;Ramsen
8261;Hemishofen
8260;Stein am Rhein
8259;Etzwilen
8259;Kaltenbach
8259;Rheinklingen
8259;Wagenhausen
8255;Schlattingen
8254;Basadingen
8253;Diessenhofen
8253;Willisdorf
8252;Schlatt TG
8248;Uhwiesen
8247;Flurlingen
8246;Langwiesen
8245;Feuerthalen
8243;Altdorf SH
8242;Bibern SH
8242;Hofen SH
8241;Barzheim
8240;Thayngen
8239;Dörflingen
8236;Büttenhardt
8236;Opfertshofen SH
8235;Lohn SH
8234;Stetten SH
8233;Bargen SH
8232;Merishausen
8231;Hemmental
8228;Beggingen
8226;Schleitheim
8225;Siblingen
8224;Löhningen
8223;Guntmadingen
8222;Beringen
8219;Trasadingen
8218;Osterfingen
8217;Wilchingen
8216;Oberhallau
8215;Hallau
8214;Gächlingen
8213;Neunkirch
8212;Neuhausen am Rheinfall
8212;Nohl
8208;Schaffhausen
8207;Schaffhausen
8203;Schaffhausen
8200;Schaffhausen
8197;Rafz
8196;Wil ZH
8195;Wasterkingen
8194;Hüntwangen
8193;Eglisau
8192;Glattfelden
8192;Zweidlen
8187;Weiach
8185;Winkel
8184;Bachenbülach
8182;Hochfelden
8181;Höri
8180;Bülach
8175;Windlach
8174;Stadel b. Niederglatt
8173;Neerach
8172;Niederglatt ZH
8166;Niederweningen
8165;Oberweningen
8165;Schleinikon
8165;Schöfflisdorf
8164;Bachs
8162;Steinmaur
8162;Sünikon
8158;Regensberg
8157;Dielsdorf
8156;Oberhasli
8155;Nassenwil
8155;Niederhasli
8154;Oberglatt ZH
8153;Rümlang
8152;Glattbrugg
8152;Glattpark (Opfikon)
8152;Opfikon
8143;Stallikon
8143;Uetliberg
8142;Uitikon Waldegg
8136;Gattikon
8135;Langnau am Albis
8135;Sihlbrugg Station
8135;Sihlwald
8134;Adliswil
8133;Esslingen
8132;Egg b. Zürich
8132;Hinteregg
8127;Forch
8126;Zumikon
8125;Zollikerberg
8124;Maur
8123;Ebmatingen
8122;Binz
8121;Benglen
8118;Pfaffhausen
8117;Fällanden
8115;Hüttikon
8114;Dänikon ZH
8113;Boppelsen
8112;Otelfingen
8109;Kloster Fahr
8108;Dällikon
8107;Buchs ZH
8106;Adlikon b. Regensdorf
8105;Regensdorf
8105;Watt
8104;Weiningen ZH
8103;Unterengstringen
8102;Oberengstringen
8064;Zürich
8057;Zürich
8055;Zürich
8053;Zürich
8052;Zürich
8051;Zürich
8050;Zürich
8049;Zürich
8048;Zürich
8047;Zürich
8046;Zürich
8045;Zürich
8044;Gockhausen
8044;Zürich
8041;Zürich
8038;Zürich
8037;Zürich
8032;Zürich
8008;Zürich
8006;Zürich
8005;Zürich
8004;Zürich
8003;Zürich
8002;Zürich
8001;Zürich
7748;Campascio
7747;Viano
7746;Le Prese
7745;Li Curt
7744;Campocologno
7743;Brusio
7743;Miralago
7742;La Rösa
7742;Poschiavo
7742;Sfazù
7741;S. Carlo (Poschiavo)
7710;Alp Grüm
7710;Ospizio Bernina
7610;Soglio
7608;Castasegna
7606;Promontogno
7605;Stampa
7604;Borgonovo
7603;Vicosoprano
7602;Casaccia
7563;Samnaun Dorf
7562;Samnaun-Compatsch
7560;Martina
7559;Tschlin
7558;Strada
7557;Vnà
7556;Ramosch
7554;Crusch
7554;Sent
7553;Tarasp
7552;Vulpera
7551;Ftan
7550;Scuol
7546;Ardez
7545;Guarda
7543;Lavin
7542;Susch
7537;Müstair
7536;Sta. Maria Val Müstair
7535;Valchava
7534;Lü
7533;Fuldera
7532;Tschierv
7530;Zernez
7527;Brail
7526;Cinuos-chel
7525;S-chanf
7524;Zuoz
7523;Madulain
7522;La Punt-Chamues-ch
7517;Plaun da Lej
7516;Maloja
7515;Sils/Segl Baselgia
7514;Fex
7514;Sils/Segl Maria
7513;Silvaplana
7513;Silvaplana-Surlej
7512;Champfèr
7505;Celerina/Schlarigna
7504;Pontresina
7503;Samedan
7502;Bever
7500;St. Moritz
7494;Davos Wiesen
7493;Schmitten (Albula)
7492;Alvaneu Dorf
7484;Latsch
7482;Bergün/Bravuogn
7482;Preda
7482;Stugl/Stuls
7477;Filisur
7473;Alvaneu Bad
7472;Surava
7464;Parsonz
7463;Riom
7462;Salouf
7460;Savognin
7459;Stierva
7458;Mon
7457;Bivio
7456;Marmorera
7456;Sur
7455;Mulegns
7454;Rona
7453;Tinizong
7452;Cunter
7451;Alvaschein
7450;Tiefencastel
7448;Juf
7447;Am Bach (Avers)
7447;Cresta (Avers)
7446;Campsut-Cröt
7445;Innerferrera
7444;Ausserferrera
7443;Pignia
7442;Clugin
7440;Andeer
7438;Hinterrhein
7437;Nufenen
7436;Medels im Rheinwald
7435;Splügen
7434;Sufers
7433;Donat
7433;Farden
7433;Lohn GR
7433;Mathon
7433;Wergenstein
7432;Zillis
7431;Mutten
7431;Obermutten
7430;Rongellen
7430;Thusis
7428;Glaspass
7428;Tschappina
7427;Urmein
7426;Flerden
7425;Masein
7424;Dalin
7424;Präz
7423;Portein
7423;Sarn
7422;Tartar
7421;Summaprada
7419;Scheid
7418;Tumegl/Tomils
7417;Paspels
7416;Almens
7415;Pratval
7415;Rodels
7414;Fürstenau
7413;Fürstenaubruck
7412;Scharans
7411;Sils im Domleschg
7408;Cazis
7408;Realta
7407;Trans
7405;Rothenbrunnen
7404;Feldis/Veulden
7403;Rhäzüns
7402;Bonaduz
7326;Weisstannen
7325;Schwendi im Weisstannental
7324;Vilters
7323;Wangs
7320;Sargans
7317;Valens
7317;Vasön
7315;Vättis
7314;Vadura
7313;St. Margrethenberg
7312;Pfäfers
7310;Bad Ragaz
7307;Jenins
7306;Fläsch
7304;Maienfeld
7303;Mastrils
7302;Landquart
7278;Davos Monstein
7277;Davos Glaris
7276;Davos Frauenkirch
7272;Davos Clavadel
7270;Davos Platz
7265;Davos Wolfgang
7260;Davos Dorf
7252;Klosters Dorf
7250;Klosters
7249;Serneus
7247;Saas im Prättigau
7246;St. Antönien
7245;Ascharina
7244;Gadenstätt
7243;Pany
7242;Luzein
7241;Conters im Prättigau
7240;Küblis
7235;Fideris
7233;Jenaz
7232;Furna
7231;Pragg-Jenaz
7228;Pusserein
7228;Schuders
7226;Fajauna
7226;Stels
7224;Putz
7223;Buchen im Prättigau
7222;Lunden
7220;Schiers
7215;Fanas
7214;Grüsch
7213;Valzeina
7212;Seewis Dorf
7212;Seewis-Pardisla
7212;Seewis-Schmitten
7208;Malans GR
7206;Igis
7205;Zizers
7204;Untervaz
7203;Trimmis
7202;Says
7201;Untervaz Bahnhof
7189;Rueras
7188;Sedrun
7187;Camischolas
7186;Segnas
7185;Platta
7184;Curaglia
7183;Mumpé Medel
7182;Cavardiras
7180;Disentis/Mustér
7176;Cumpadials
7175;Sumvitg
7174;S. Benedetg
7173;Surrein
7172;Rabius
7168;Schlans
7167;Zignau
7166;Trun
7165;Breil/Brigels
7164;Dardin
7163;Danis
7162;Tavanasa
7159;Andiast
7158;Waltensburg/Vuorz
7157;Siat
7156;Pigniu
7156;Rueun
7155;Ladir
7154;Ruschein
7153;Falera
7152;Sagogn
7151;Schluein
7149;Vrin
7148;Lumbrein
7148;Surin
7147;Vignogn
7146;Vattiz
7145;Degen
7144;Vella
7143;Morissen
7142;Cumbel
7141;Luven
7138;Surcuolm
7137;Flond
7134;Obersaxen
7132;Vals
7130;Ilanz
7130;Schnaus
7128;Riein
7127;Sevgein
7126;Castrisch
7122;Carrera
7122;Valendas
7116;St. Martin (Lugnez)
7116;Tersnaus
7115;Surcasti
7114;Uors (Lumnezia)
7113;Camuns
7112;Duvin
7111;Pitasch
7110;Peiden
7109;Thalkirch
7107;Safien Platz
7106;Tenna
7104;Arezen
7104;Versam
7084;Brienz/Brinzauls GR
7083;Lantsch/Lenz
7082;Vaz/Obervaz
7078;Lenzerheide/Lai
7077;Valbella
7076;Parpan
7075;Churwalden
7074;Malix
7064;Tschiertschen
7063;Praden
7062;Passugg
7058;Litzirüti
7057;Langwies
7056;Molinis
7050;Arosa
7032;Laax GR 2
7031;Laax GR
7029;Peist
7028;Pagig
7028;St. Peter
7027;Calfreisen
7027;Castiel
7027;Lüen
7026;Maladers
7023;Haldenstein
7019;Fidaz
7018;Flims Waldhaus
7017;Flims Dorf
7016;Trin Mulin
7015;Tamins
7014;Trin
7013;Domat/Ems
7012;Felsberg
7000;Chur
6999;Astano
6998;Termine
6997;Sessa
6996;Ponte Cremenaga
6995;Madonna del Piano
6995;Molinazzo di Monteggio
6994;Aranno
6993;Iseo
6992;Cimo
6992;Vernate
6991;Neggio
6990;Cassina d'Agno
6989;Purasca
6988;Ponte Tresa
6987;Caslano
6986;Curio
6986;Miglieglia
6986;Novaggio
6984;Pura
6983;Magliaso
6982;Agno
6981;Banco
6981;Bedigliora
6981;Biogno-Beride
6981;Bombinasco
6980;Castelrotto
6979;Brè sopra Lugano
6978;Gandria
6977;Ruvigliana
6976;Castagnola
6974;Aldesago
6968;Sonvico
6967;Dino
6966;Villa Luganese
6965;Cadro
6964;Davesco-Soragno
6963;Cureggia
6963;Pregassona
6962;Viganello
6959;Certara
6959;Cimadera
6959;Curtina
6959;Maglio di Colla
6959;Piandera Paese
6958;Bidogno
6958;Corticiasca
6957;Roveredo TI
6956;Lopagno
6955;Cagiallo
6955;Oggio
6954;Bigorio
6954;Sala Capriasca
6953;Lugaggia
6952;Canobbio
6951;Bogno
6951;Colla
6951;Cozzo
6951;Insone
6951;Odogno
6951;Scareglia
6951;Signôra
6950;Tesserete
6949;Comano
6948;Porza
6947;Vaglio
6946;Ponte Capriasca
6945;Origlio
6944;Cureglia
6943;Vezia
6942;Savosa
6939;Arosio
6939;Mugena
6938;Fescoggia
6938;Vezio
6937;Breno
6936;Cademario
6935;Bosco Luganese
6934;Bioggio
6933;Muzzano
6932;Breganzona
6930;Bedano
6929;Gravesano
6928;Manno
6927;Agra
6926;Montagnola
6925;Gentilino
6924;Sorengo
6922;Morcote
6921;Vico Morcote
6919;Carabietta
6918;Figino
6917;Barbengo
6916;Grancia
6915;Pambio-Noranco
6914;Carona
6913;Carabbia
6912;Pazzallo
6900;Lugano
6900;Massagno
6900;Paradiso
6883;Novazzano
6877;Coldrerio
6875;Campora
6875;Casima
6875;Monte
6874;Castel San Pietro
6873;Corteglia
6872;Salorino
6872;Somazzo
6867;Serpiano
6866;Meride
6865;Tremona
6864;Arzo
6863;Besazio
6862;Rancate
6855;Stabio
6854;S. Pietro
6853;Ligornetto
6852;Genestrerio
6850;Mendrisio
6839;Sagno
6838;Cabbio
6838;Muggio
6838;Scudellate
6837;Bruzella
6837;Caneggio
6835;Morbio Superiore
6834;Morbio Inferiore
6833;Vacallo
6832;Pedrinate
6832;Seseglio
6830;Chiasso
6828;Balerna
6827;Brusino Arsizio
6826;Riva San Vitale
6825;Capolago
6823;Pugerna
6822;Arogno
6821;Rovio
6818;Melano
6817;Maroggia
6816;Bissone
6815;Melide
6814;Cadempino
6814;Lamone
6810;Isone
6809;Medeglia
6808;Torricella
6807;Taverne
6806;Sigirino
6805;Mezzovico
6804;Bironico
6803;Camignolo
6802;Rivera
6781;Bedretto
6781;Villa Bedretto
6780;Airolo
6780;Madrano
6777;Quinto
6777;Varenzo
6776;Piotta
6775;Ambrì
6774;Dalpe
6773;Prato (Leventina)
6772;Rodi-Fiesso
6764;Chiggiogna
6763;Mairengo
6763;Osco
6760;Calpiogna
6760;Campello
6760;Carì
6760;Faido
6760;Molare
6760;Rossura
6749;Cavagnago
6749;Sobrio
6748;Anzonico
6747;Chironico
6746;Calonico
6746;Lavorgo
6746;Nivo
6745;Giornico
6744;Personico
6743;Bodio TI
6742;Pollegio
6724;Largario
6724;Ponto Valentino
6723;Castro
6723;Marolta
6723;Prugiasco
6722;Corzoneso
6721;Ludiano
6721;Motto (Blenio)
6720;Campo (Blenio)
6720;Ghirone
6719;Aquila
6718;Camperio
6718;Olivone
6717;Dangio
6717;Torre
6716;Acquarossa
6716;Leontica
6716;Lottigna
6715;Dongio
6714;Semione
6713;Malvaglia
6710;Biasca
6707;Iragna
6705;Cresciano
6703;Osogna
6702;Claro
6696;Fusio
6695;Peccia
6695;Piano di Peccia
6694;Prato-Sornico
6693;Broglio
6692;Brontallo
6692;Menzonio
6690;Cavergno
6690;S. Carlo (Val Bavona)
6685;Bosco/Gurin
6684;Campo (Vallemaggia)
6684;Cimalmotto
6683;Cerentino
6683;Niva (Vallemaggia)
6682;Linescio
6678;Coglio
6678;Giumaglio
6678;Lodano
6677;Aurigeno
6677;Moghegno
6676;Bignasco
6675;Cevio
6674;Riveo
6674;Someo
6673;Maggia
6672;Gordevio
6670;Avegno
6664;Vergeletto
6663;Comologno
6663;Spruga
6662;Russo
6661;Auressio
6661;Berzona
6661;Loco
6659;Camedo
6659;Moneto
6658;Borgnone
6657;Palagnedra
6656;Golino
6655;Intragna
6655;Rasa
6655;Verdasio
6654;Cavigliano
6653;Verscio
6652;Tegna
6648;Minusio
6647;Mergoscia
6646;Contra
6645;Brione sopra Minusio
6644;Orselina
6637;Sonogno
6636;Frasco
6635;Gerra (Verzasca)
6634;Brione (Verzasca)
6633;Lavertezzo
6632;Vogorno
6631;Corippo
6622;Ronco sopra Ascona
6618;Arcegno
6616;Losone
